Entity,Code,Year,70+,50-69,15-49,5-14,0-4
World,OWID_WRL,1990,15536563,11063201,6787823,1273621,11981203
World,OWID_WRL,1991,15869718,11220077,6972072,1308749,11790773
World,OWID_WRL,1992,16218514,11392006,7107935,1272384,11523143
World,OWID_WRL,1993,16679166,11624626,7340518,1263657,11272036
World,OWID_WRL,1994,16990884,11784366,7899174,1305651,11143632
World,OWID_WRL,1995,17315645,11748711,7842620,1222448,10847655
World,OWID_WRL,1996,17601710,11719576,7955935,1207090,10619114
World,OWID_WRL,1997,17971049,11778898,8092638,1200624,10378725
World,OWID_WRL,1998,18373402,11781630,8279852,1199152,10153572
World,OWID_WRL,1999,18860751,11834713,8547755,1181572,9917606
World,OWID_WRL,2000,19316384,11911301,8693615,1151784,9642910
World,OWID_WRL,2001,19765694,12004562,8718072,1125245,9385925
World,OWID_WRL,2002,20262448,12214439,8756630,1063767,9158365
World,OWID_WRL,2003,20624464,12369863,8756921,1022095,8929125
World,OWID_WRL,2004,20832655,12399961,8878754,1044444,8720993
World,OWID_WRL,2005,21313733,12509543,8787141,1018925,8476975
World,OWID_WRL,2006,21541217,12473875,8640747,973977,8232088
World,OWID_WRL,2007,21883502,12529008,8540509,946108,7984681
World,OWID_WRL,2008,22452978,12697622,8596594,953626,7765956
World,OWID_WRL,2009,22740257,12701885,8342868,907045,7517249
World,OWID_WRL,2010,23199000,12913450,8371353,925902,7302984
World,OWID_WRL,2011,23613873,13063705,8113934,863615,7041337
World,OWID_WRL,2012,23987060,13266859,7961131,841740,6800853
World,OWID_WRL,2013,24568508,13391615,7839635,804352,6583608
World,OWID_WRL,2014,25069932,13632174,7711710,779291,6330647
World,OWID_WRL,2015,25539090,14095410,7607235,761794,6096194
World,OWID_WRL,2016,26053541,14391551,7563864,737430,5801200
World,OWID_WRL,2017,26698334,14534538,7514505,714129,5515097
World,OWID_WRL,2018,27567868,14738348,7460432,694104,5256445
World,OWID_WRL,2019,28407810,14967547,7431023,677012,5043568
